user_id,name,preference,age,food_id,food_name,food_category,food_subcategory,processing_level,caffeine_content_mg,flavor_profile,common_allergens,glycemic_index,inflammatory_index,calories_kcal,impact_on_cramps,impact_on_bloating,impact_on_headache,impact_on_mood_swings,impact_on_fatigue,impact_on_acne
70.48871815094338,User937,High Protein,65.0,20.99959629402899,Flaxseeds,Proteins,Seeds,Natural,2.83609838555244,Bitter,,53.29162421840246,7.5744527443459475,615.6691366524055,Neutral,Beneficial,Neutral,Beneficial,Neutral,Beneficial
217.82870728922595,User1,High Protein,65.0,18.352914052274503,Olive Oil,Dairy,Kefir,Highly Processed,0.0,Sour,Gluten,68.7645210746077,7.4474360910322135,234.89286469807934,Neutral,Neutral,Neutral,Neutral,Neutral,Harmful
1.0,User1,Low Carb,64.81505798096589,31.58348511172258,Coffee,Beverages,Alcohol,Highly Processed,0.0,Bitter,,43.296614307650415,5.350230589440927,0.0,Neutral,Neutral,Neutral,Neutral,Beneficial,Neutral
1.0,User1,Balanced,65.0,19.64386989447693,Broccoli,Vegetables,Chocolate,Highly Processed,0.0,Sweet,,36.480468203063865,10.0,7.524619838477058,Neutral,Harmful,Beneficial,Beneficial,Beneficial,Beneficial
112.07463846023006,User1,Low Carb,61.22604087723401,9.836816897834662,Dark Chocolate,Confectionery,Chocolate,Natural,1.1565216351867085,Sweet,,57.404296196946014,5.641416306026975,0.0,Beneficial,Neutral,Neutral,Neutral,Neutral,Harmful
335.1210474339795,User1,Balanced,55.35792129907945,12.123802872731195,Greek Yogurt,Dairy,Alcohol,Minimally Processed,4.30636179929676,Sour,Nuts,30.470358349265254,1.0,151.9322879856049,Beneficial,Beneficial,Beneficial,Beneficial,Beneficial,Neutral
75.69517398302808,User1,Low Carb,65.0,7.312120709568811,Oranges,Vegetables,Cruciferous,Minimally Processed,0.0,Bitter,,48.2413802665818,10.0,114.89596238884563,Neutral,Beneficial,Harmful,Neutral,Beneficial,Harmful
1.0,User1,Low Carb,65.0,5.817607135586564,Salmon,Proteins,Fish,Natural,0.0,Neutral,,43.35380642311837,2.226131802313873,116.53695631268083,Neutral,Neutral,Neutral,Neutral,Beneficial,Neutral
1.0,User1,Low Carb,63.728239457593205,24.892402219723834,Salmon,Dairy,Fish,Minimally Processed,0.0,Sweet,Eggs,43.58950393322349,2.298268577248674,132.56472237693072,Neutral,Beneficial,Beneficial,Beneficial,Beneficial,Neutral
344.77683927919423,User622,Balanced,64.26206632425209,24.983302518066964,Kefir,Nuts & Seeds,Tree Nuts,Natural,8.170749793422369,Spicy,Eggs,59.89822774207903,3.630443296460506,584.4121275754792,Neutral,Neutral,Neutral,Beneficial,Neutral,Harmful
1.0,User2,High Protein,43.687176984641674,15.354101287099303,Red Wine,Proteins,Eggs,Natural,14.000228469714676,Neutral,Eggs,30.0,2.5337367747808144,127.27401914278738,Beneficial,Neutral,Neutral,Beneficial,Beneficial,Neutral
1.0,User2,High Protein,36.49898034715873,5.97548360943784,Kale,Herbs & Spices,Leafy Greens,Natural,0.3698847297781231,Bitter,Gluten,70.0,10.0,0.0,Beneficial,Harmful,Harmful,Beneficial,Neutral,Beneficial
1.0,User607,Balanced,46.8853796937648,12.610188453790943,Tofu,Legumes,Plant Protein,Highly Processed,0.0,Neutral,Soy,56.326039848591364,8.144933548065413,57.356896476532974,Neutral,Harmful,Harmful,Neutral,Beneficial,Neutral
40.29220999654782,User2,High Protein,43.65896129983214,1.0,Dark Chocolate,Beverages,Herbal Tea,Natural,0.0,Neutral,,70.0,8.287960712484928,106.43419901902345,Neutral,Neutral,Beneficial,Neutral,Beneficial,Beneficial
74.52646435356199,User2,High Protein,38.31059064558535,7.639193512571439,Chicken Breast,Dairy,Poultry,Natural,0.0,Neutral,Dairy,55.67484223607088,5.499966375957547,352.20572140319746,Neutral,Neutral,Neutral,Neutral,Beneficial,Neutral
132.3199928254156,User833,Balanced,50.177680653060335,21.552050762007802,Chia Seeds,Nuts & Seeds,Bread,Natural,0.0,Neutral,Soy,42.33958625216784,1.636084823141934,351.48359335912795,Neutral,Neutral,Neutral,Beneficial,Beneficial,Beneficial
1.0,User2,Balanced,35.26250593861855,22.384703694824964,Sweet Potatoes,Grains,Plant Oils,Minimally Processed,12.567898756689967,Neutral,,51.38825869587067,5.015894922412384,277.0013346702382,Neutral,Neutral,Neutral,Beneficial,Neutral,Harmful
1.0,User2,Balanced,42.71354238640865,12.980322819706755,Red Wine,Vegetables,Yogurt,Minimally Processed,0.0,Sour,Dairy,32.714211202473045,1.0454062238974422,167.36489676246183,Beneficial,Beneficial,Beneficial,Beneficial,Beneficial,Harmful
49.53918362760708,User2,Balanced,45.04614835858597,35.0,Kale,Confectionery,Fish,Highly Processed,7.62840403627809,Bitter,Eggs,67.99633298322908,7.112421069059591,132.67007593360987,Harmful,Harmful,Harmful,Beneficial,Neutral,Neutral
1.0,User3,High Protein,46.77085279922365,30.1055571680874,Peppermint Tea,Beverages,Herbal Tea,Highly Processed,0.0,Bitter,,30.0,1.0,180.0965490234559,Beneficial,Beneficial,Neutral,Beneficial,Beneficial,Neutral
3.47135459942442,User3,High Protein,39.74840777285375,12.71231512928663,Greek Yogurt,Fruits,Yogurt,Minimally Processed,9.928023212003144,Sour,Dairy,30.0,1.0,90.86662028782627,Beneficial,Beneficial,Beneficial,Beneficial,Beneficial,Beneficial
29.85479258203689,User3,Balanced,40.046221253603505,6.770077425932753,Tofu,Fruits,Tropical Fruits,Natural,0.0,Sweet,Dairy,42.38524617911461,10.0,66.7026856297287,Harmful,Beneficial,Harmful,Neutral,Neutral,Beneficial
1.0,User3,High Protein,52.318644364488115,15.688463606890746,Tofu,Confectionery,Plant Protein,Highly Processed,12.008062259085637,Neutral,Soy,58.37425057213573,9.130807308776358,72.10939383419039,Neutral,Harmful,Beneficial,Neutral,Neutral,Beneficial
1.0,User3,High Protein,46.95864811480139,20.53427389486838,Quinoa,Grains,Pseudograins,Minimally Processed,0.0,Neutral,Soy,30.0,8.427657562578247,230.17558584591382,Harmful,Harmful,Harmful,Beneficial,Beneficial,Neutral
111.02586152173258,User921,High Protein,41.30880472418678,25.922485736035025,Red Wine,Beverages,Alcohol,Minimally Processed,0.0,Bitter,,47.6496205180731,4.186337435577216,0.0,Beneficial,Neutral,Neutral,Neutral,Beneficial,Neutral
